+-------------+-------------------+------+-----------------------------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                                             | delivered(/fb) | recorded(/fb) |
+-------------+-------------------+------+-----------------------------------------------------+----------------+---------------+
| 254231:4201 | 08/13/15 05:14:40 | 24   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v1 | 0.000          | 0.000         |
| 254232:4201 | 08/13/15 05:43:48 | 81   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v1 | 0.000          | 0.000         |
| 254790:4243 | 08/21/15 05:24:04 | 685  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v1 | 0.012          | 0.011         |
| 254852:4249 | 08/22/15 13:49:29 | 40   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v1 | 0.001          | 0.001         |
| 254879:4254 | 08/23/15 03:34:41 | 88   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v1 | 0.002          | 0.002         |
| 254906:4256 | 08/23/15 16:23:48 | 75   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v1 | 0.002          | 0.002         |
| 254907:4256 | 08/23/15 16:55:45 | 52   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v1 | 0.001          | 0.001         |
| 256630:4376 | 09/16/15 12:20:57 | 22   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.001          | 0.001         |
| 256673:4381 | 09/17/15 01:46:10 | 2    | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.000          | 0.000         |
| 256674:4381 | 09/17/15 01:47:46 | 2    | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.000          | 0.000         |
| 256675:4381 | 09/17/15 01:50:18 | 160  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.008          | 0.008         |
| 256676:4381 | 09/17/15 02:55:57 | 207  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.010          | 0.010         |
| 256677:4381 | 09/17/15 09:59:03 | 477  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.018          | 0.016         |
| 256801:4386 | 09/18/15 16:00:54 | 189  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.010          | 0.009         |
| 256843:4391 | 09/19/15 07:02:10 | 971  | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.040          | 0.039         |
| 256866:4393 | 09/19/15 22:02:52 | 14   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.001          | 0.000         |
| 256867:4393 | 09/19/15 22:11:45 | 92   | HLT_PFMETNoMu90_JetIdCleaned_PFMHTNoMu90_IDTight_v2 | 0.005          | 0.005         |
